p cnf 153 6120
109 118 129 114 0
-109 -118 -129 -114 0
1 27 135 14 0
-1 -27 -135 -14 0
2 42 135 14 0
-2 -42 -135 -14 0
18 42 135 30 0
-18 -42 -135 -30 0
3 56 135 14 0
-3 -56 -135 -14 0
19 56 135 30 0
-19 -56 -135 -30 0
34 56 135 45 0
-34 -56 -135 -45 0
4 69 135 14 0
-4 -69 -135 -14 0
20 69 135 30 0
-20 -69 -135 -30 0
35 69 135 45 0
-35 -69 -135 -45 0
49 69 135 59 0
-49 -69 -135 -59 0
5 81 135 14 0
-5 -81 -135 -14 0
21 81 135 30 0
-21 -81 -135 -30 0
36 81 135 45 0
-36 -81 -135 -45 0
50 81 135 59 0
-50 -81 -135 -59 0
63 81 135 72 0
-63 -81 -135 -72 0
6 92 135 14 0
-6 -92 -135 -14 0
22 92 135 30 0
-22 -92 -135 -30 0
37 92 135 45 0
-37 -92 -135 -45 0
51 92 135 59 0
-51 -92 -135 -59 0
64 92 135 72 0
-64 -92 -135 -72 0
76 92 135 84 0
-76 -92 -135 -84 0
7 102 135 14 0
-7 -102 -135 -14 0
23 102 135 30 0
-23 -102 -135 -30 0
38 102 135 45 0
-38 -102 -135 -45 0
52 102 135 59 0
-52 -102 -135 -59 0
65 102 135 72 0
-65 -102 -135 -72 0
77 102 135 84 0
-77 -102 -135 -84 0
88 102 135 95 0
-88 -102 -135 -95 0
8 111 135 14 0
-8 -111 -135 -14 0
24 111 135 30 0
-24 -111 -135 -30 0
39 111 135 45 0
-39 -111 -135 -45 0
53 111 135 59 0
-53 -111 -135 -59 0
66 111 135 72 0
-66 -111 -135 -72 0
78 111 135 84 0
-78 -111 -135 -84 0
89 111 135 95 0
-89 -111 -135 -95 0
99 111 135 105 0
-99 -111 -135 -105 0
9 119 135 14 0
-9 -119 -135 -14 0
25 119 135 30 0
-25 -119 -135 -30 0
40 119 135 45 0
-40 -119 -135 -45 0
54 119 135 59 0
-54 -119 -135 -59 0
67 119 135 72 0
-67 -119 -135 -72 0
79 119 135 84 0
-79 -119 -135 -84 0
90 119 135 95 0
-90 -119 -135 -95 0
100 119 135 105 0
-100 -119 -135 -105 0
109 119 135 114 0
-109 -119 -135 -114 0
10 126 135 14 0
-10 -126 -135 -14 0
26 126 135 30 0
-26 -126 -135 -30 0
41 126 135 45 0
-41 -126 -135 -45 0
55 126 135 59 0
-55 -126 -135 -59 0
68 126 135 72 0
-68 -126 -135 -72 0
80 126 135 84 0
-80 -126 -135 -84 0
91 126 135 95 0
-91 -126 -135 -95 0
101 126 135 105 0
-101 -126 -135 -105 0
110 126 135 114 0
-110 -126 -135 -114 0
118 126 135 122 0
-118 -126 -135 -122 0
1 28 140 14 0
-1 -28 -140 -14 0
2 43 140 14 0
-2 -43 -140 -14 0
18 43 140 30 0
-18 -43 -140 -30 0
3 57 140 14 0
-3 -57 -140 -14 0
19 57 140 30 0
-19 -57 -140 -30 0
34 57 140 45 0
-34 -57 -140 -45 0
4 70 140 14 0
-4 -70 -140 -14 0
20 70 140 30 0
-20 -70 -140 -30 0
35 70 140 45 0
-35 -70 -140 -45 0
49 70 140 59 0
-49 -70 -140 -59 0
5 82 140 14 0
-5 -82 -140 -14 0
21 82 140 30 0
-21 -82 -140 -30 0
36 82 140 45 0
-36 -82 -140 -45 0
50 82 140 59 0
-50 -82 -140 -59 0
63 82 140 72 0
-63 -82 -140 -72 0
6 93 140 14 0
-6 -93 -140 -14 0
22 93 140 30 0
-22 -93 -140 -30 0
37 93 140 45 0
-37 -93 -140 -45 0
51 93 140 59 0
-51 -93 -140 -59 0
64 93 140 72 0
-64 -93 -140 -72 0
76 93 140 84 0
-76 -93 -140 -84 0
7 103 140 14 0
-7 -103 -140 -14 0
23 103 140 30 0
-23 -103 -140 -30 0
38 103 140 45 0
-38 -103 -140 -45 0
52 103 140 59 0
-52 -103 -140 -59 0
65 103 140 72 0
-65 -103 -140 -72 0
77 103 140 84 0
-77 -103 -140 -84 0
88 103 140 95 0
-88 -103 -140 -95 0
8 112 140 14 0
-8 -112 -140 -14 0
24 112 140 30 0
-24 -112 -140 -30 0
39 112 140 45 0
-39 -112 -140 -45 0
53 112 140 59 0
-53 -112 -140 -59 0
66 112 140 72 0
-66 -112 -140 -72 0
78 112 140 84 0
-78 -112 -140 -84 0
89 112 140 95 0
-89 -112 -140 -95 0
99 112 140 105 0
-99 -112 -140 -105 0
9 120 140 14 0
-9 -120 -140 -14 0
25 120 140 30 0
-25 -120 -140 -30 0
40 120 140 45 0
-40 -120 -140 -45 0
54 120 140 59 0
-54 -120 -140 -59 0
67 120 140 72 0
-67 -120 -140 -72 0
79 120 140 84 0
-79 -120 -140 -84 0
90 120 140 95 0
-90 -120 -140 -95 0
100 120 140 105 0
-100 -120 -140 -105 0
109 120 140 114 0
-109 -120 -140 -114 0
10 127 140 14 0
-10 -127 -140 -14 0
26 127 140 30 0
-26 -127 -140 -30 0
41 127 140 45 0
-41 -127 -140 -45 0
55 127 140 59 0
-55 -127 -140 -59 0
68 127 140 72 0
-68 -127 -140 -72 0
80 127 140 84 0
-80 -127 -140 -84 0
91 127 140 95 0
-91 -127 -140 -95 0
101 127 140 105 0
-101 -127 -140 -105 0
110 127 140 114 0
-110 -127 -140 -114 0
118 127 140 122 0
-118 -127 -140 -122 0
11 133 140 14 0
-11 -133 -140 -14 0
27 133 140 30 0
-27 -133 -140 -30 0
42 133 140 45 0
-42 -133 -140 -45 0
56 133 140 59 0
-56 -133 -140 -59 0
69 133 140 72 0
-69 -133 -140 -72 0
81 133 140 84 0
-81 -133 -140 -84 0
92 133 140 95 0
-92 -133 -140 -95 0
102 133 140 105 0
-102 -133 -140 -105 0
111 133 140 114 0
-111 -133 -140 -114 0
119 133 140 122 0
-119 -133 -140 -122 0
126 133 140 129 0
-126 -133 -140 -129 0
1 29 144 14 0
-1 -29 -144 -14 0
2 44 144 14 0
-2 -44 -144 -14 0
18 44 144 30 0
-18 -44 -144 -30 0
3 58 144 14 0
-3 -58 -144 -14 0
19 58 144 30 0
-19 -58 -144 -30 0
34 58 144 45 0
-34 -58 -144 -45 0
4 71 144 14 0
-4 -71 -144 -14 0
20 71 144 30 0
-20 -71 -144 -30 0
35 71 144 45 0
-35 -71 -144 -45 0
49 71 144 59 0
-49 -71 -144 -59 0
5 83 144 14 0
-5 -83 -144 -14 0
21 83 144 30 0
-21 -83 -144 -30 0
36 83 144 45 0
-36 -83 -144 -45 0
50 83 144 59 0
-50 -83 -144 -59 0
63 83 144 72 0
-63 -83 -144 -72 0
6 94 144 14 0
-6 -94 -144 -14 0
22 94 144 30 0
-22 -94 -144 -30 0
37 94 144 45 0
-37 -94 -144 -45 0
51 94 144 59 0
-51 -94 -144 -59 0
64 94 144 72 0
-64 -94 -144 -72 0
76 94 144 84 0
-76 -94 -144 -84 0
7 104 144 14 0
-7 -104 -144 -14 0
23 104 144 30 0
-23 -104 -144 -30 0
38 104 144 45 0
-38 -104 -144 -45 0
52 104 144 59 0
-52 -104 -144 -59 0
65 104 144 72 0
-65 -104 -144 -72 0
77 104 144 84 0
-77 -104 -144 -84 0
88 104 144 95 0
-88 -104 -144 -95 0
8 113 144 14 0
-8 -113 -144 -14 0
24 113 144 30 0
-24 -113 -144 -30 0
39 113 144 45 0
-39 -113 -144 -45 0
53 113 144 59 0
-53 -113 -144 -59 0
66 113 144 72 0
-66 -113 -144 -72 0
78 113 144 84 0
-78 -113 -144 -84 0
89 113 144 95 0
-89 -113 -144 -95 0
99 113 144 105 0
-99 -113 -144 -105 0
9 121 144 14 0
-9 -121 -144 -14 0
25 121 144 30 0
-25 -121 -144 -30 0
40 121 144 45 0
-40 -121 -144 -45 0
54 121 144 59 0
-54 -121 -144 -59 0
67 121 144 72 0
-67 -121 -144 -72 0
79 121 144 84 0
-79 -121 -144 -84 0
90 121 144 95 0
-90 -121 -144 -95 0
100 121 144 105 0
-100 -121 -144 -105 0
109 121 144 114 0
-109 -121 -144 -114 0
10 128 144 14 0
-10 -128 -144 -14 0
26 128 144 30 0
-26 -128 -144 -30 0
41 128 144 45 0
-41 -128 -144 -45 0
55 128 144 59 0
-55 -128 -144 -59 0
68 128 144 72 0
-68 -128 -144 -72 0
80 128 144 84 0
-80 -128 -144 -84 0
91 128 144 95 0
-91 -128 -144 -95 0
101 128 144 105 0
-101 -128 -144 -105 0
110 128 144 114 0
-110 -128 -144 -114 0
118 128 144 122 0
-118 -128 -144 -122 0
11 134 144 14 0
-11 -134 -144 -14 0
27 134 144 30 0
-27 -134 -144 -30 0
42 134 144 45 0
-42 -134 -144 -45 0
56 134 144 59 0
-56 -134 -144 -59 0
69 134 144 72 0
-69 -134 -144 -72 0
81 134 144 84 0
-81 -134 -144 -84 0
92 134 144 95 0
-92 -134 -144 -95 0
102 134 144 105 0
-102 -134 -144 -105 0
111 134 144 114 0
-111 -134 -144 -114 0
119 134 144 122 0
-119 -134 -144 -122 0
126 134 144 129 0
-126 -134 -144 -129 0
12 139 144 14 0
-12 -139 -144 -14 0
28 139 144 30 0
-28 -139 -144 -30 0
43 139 144 45 0
-43 -139 -144 -45 0
57 139 144 59 0
-57 -139 -144 -59 0
70 139 144 72 0
-70 -139 -144 -72 0
82 139 144 84 0
-82 -139 -144 -84 0
93 139 144 95 0
-93 -139 -144 -95 0
103 139 144 105 0
-103 -139 -144 -105 0
112 139 144 114 0
-112 -139 -144 -114 0
120 139 144 122 0
-120 -139 -144 -122 0
127 139 144 129 0
-127 -139 -144 -129 0
133 139 144 135 0
-133 -139 -144 -135 0
1 18 46 15 0
-1 -18 -46 -15 0
1 19 60 15 0
-1 -19 -60 -15 0
2 34 60 15 0
-2 -34 -60 -15 0
18 34 60 31 0
-18 -34 -60 -31 0
1 20 73 15 0
-1 -20 -73 -15 0
2 35 73 15 0
-2 -35 -73 -15 0
18 35 73 31 0
-18 -35 -73 -31 0
3 49 73 15 0
-3 -49 -73 -15 0
19 49 73 31 0
-19 -49 -73 -31 0
34 49 73 46 0
-34 -49 -73 -46 0
1 21 85 15 0
-1 -21 -85 -15 0
2 36 85 15 0
-2 -36 -85 -15 0
18 36 85 31 0
-18 -36 -85 -31 0
3 50 85 15 0
-3 -50 -85 -15 0
19 50 85 31 0
-19 -50 -85 -31 0
34 50 85 46 0
-34 -50 -85 -46 0
4 63 85 15 0
-4 -63 -85 -15 0
20 63 85 31 0
-20 -63 -85 -31 0
35 63 85 46 0
-35 -63 -85 -46 0
49 63 85 60 0
-49 -63 -85 -60 0
1 22 96 15 0
-1 -22 -96 -15 0
2 37 96 15 0
-2 -37 -96 -15 0
18 37 96 31 0
-18 -37 -96 -31 0
3 51 96 15 0
-3 -51 -96 -15 0
19 51 96 31 0
-19 -51 -96 -31 0
34 51 96 46 0
-34 -51 -96 -46 0
4 64 96 15 0
-4 -64 -96 -15 0
20 64 96 31 0
-20 -64 -96 -31 0
35 64 96 46 0
-35 -64 -96 -46 0
49 64 96 60 0
-49 -64 -96 -60 0
5 76 96 15 0
-5 -76 -96 -15 0
21 76 96 31 0
-21 -76 -96 -31 0
36 76 96 46 0
-36 -76 -96 -46 0
50 76 96 60 0
-50 -76 -96 -60 0
63 76 96 73 0
-63 -76 -96 -73 0
1 23 106 15 0
-1 -23 -106 -15 0
2 38 106 15 0
-2 -38 -106 -15 0
18 38 106 31 0
-18 -38 -106 -31 0
3 52 106 15 0
-3 -52 -106 -15 0
19 52 106 31 0
-19 -52 -106 -31 0
34 52 106 46 0
-34 -52 -106 -46 0
4 65 106 15 0
-4 -65 -106 -15 0
20 65 106 31 0
-20 -65 -106 -31 0
35 65 106 46 0
-35 -65 -106 -46 0
49 65 106 60 0
-49 -65 -106 -60 0
5 77 106 15 0
-5 -77 -106 -15 0
21 77 106 31 0
-21 -77 -106 -31 0
36 77 106 46 0
-36 -77 -106 -46 0
50 77 106 60 0
-50 -77 -106 -60 0
63 77 106 73 0
-63 -77 -106 -73 0
6 88 106 15 0
-6 -88 -106 -15 0
22 88 106 31 0
-22 -88 -106 -31 0
37 88 106 46 0
-37 -88 -106 -46 0
51 88 106 60 0
-51 -88 -106 -60 0
64 88 106 73 0
-64 -88 -106 -73 0
76 88 106 85 0
-76 -88 -106 -85 0
1 24 115 15 0
-1 -24 -115 -15 0
2 39 115 15 0
-2 -39 -115 -15 0
18 39 115 31 0
-18 -39 -115 -31 0
3 53 115 15 0
-3 -53 -115 -15 0
19 53 115 31 0
-19 -53 -115 -31 0
34 53 115 46 0
-34 -53 -115 -46 0
4 66 115 15 0
-4 -66 -115 -15 0
20 66 115 31 0
-20 -66 -115 -31 0
35 66 115 46 0
-35 -66 -115 -46 0
49 66 115 60 0
-49 -66 -115 -60 0
5 78 115 15 0
-5 -78 -115 -15 0
21 78 115 31 0
-21 -78 -115 -31 0
36 78 115 46 0
-36 -78 -115 -46 0
50 78 115 60 0
-50 -78 -115 -60 0
63 78 115 73 0
-63 -78 -115 -73 0
6 89 115 15 0
-6 -89 -115 -15 0
22 89 115 31 0
-22 -89 -115 -31 0
37 89 115 46 0
-37 -89 -115 -46 0
51 89 115 60 0
-51 -89 -115 -60 0
64 89 115 73 0
-64 -89 -115 -73 0
76 89 115 85 0
-76 -89 -115 -85 0
7 99 115 15 0
-7 -99 -115 -15 0
23 99 115 31 0
-23 -99 -115 -31 0
38 99 115 46 0
-38 -99 -115 -46 0
52 99 115 60 0
-52 -99 -115 -60 0
65 99 115 73 0
-65 -99 -115 -73 0
77 99 115 85 0
-77 -99 -115 -85 0
88 99 115 96 0
-88 -99 -115 -96 0
1 25 123 15 0
-1 -25 -123 -15 0
2 40 123 15 0
-2 -40 -123 -15 0
18 40 123 31 0
-18 -40 -123 -31 0
3 54 123 15 0
-3 -54 -123 -15 0
19 54 123 31 0
-19 -54 -123 -31 0
34 54 123 46 0
-34 -54 -123 -46 0
4 67 123 15 0
-4 -67 -123 -15 0
20 67 123 31 0
-20 -67 -123 -31 0
35 67 123 46 0
-35 -67 -123 -46 0
49 67 123 60 0
-49 -67 -123 -60 0
5 79 123 15 0
-5 -79 -123 -15 0
21 79 123 31 0
-21 -79 -123 -31 0
36 79 123 46 0
-36 -79 -123 -46 0
50 79 123 60 0
-50 -79 -123 -60 0
63 79 123 73 0
-63 -79 -123 -73 0
6 90 123 15 0
-6 -90 -123 -15 0
22 90 123 31 0
-22 -90 -123 -31 0
37 90 123 46 0
-37 -90 -123 -46 0
51 90 123 60 0
-51 -90 -123 -60 0
64 90 123 73 0
-64 -90 -123 -73 0
76 90 123 85 0
-76 -90 -123 -85 0
7 100 123 15 0
-7 -100 -123 -15 0
23 100 123 31 0
-23 -100 -123 -31 0
38 100 123 46 0
-38 -100 -123 -46 0
52 100 123 60 0
-52 -100 -123 -60 0
65 100 123 73 0
-65 -100 -123 -73 0
77 100 123 85 0
-77 -100 -123 -85 0
88 100 123 96 0
-88 -100 -123 -96 0
8 109 123 15 0
-8 -109 -123 -15 0
24 109 123 31 0
-24 -109 -123 -31 0
39 109 123 46 0
-39 -109 -123 -46 0
53 109 123 60 0
-53 -109 -123 -60 0
66 109 123 73 0
-66 -109 -123 -73 0
78 109 123 85 0
-78 -109 -123 -85 0
89 109 123 96 0
-89 -109 -123 -96 0
99 109 123 106 0
-99 -109 -123 -106 0
1 26 130 15 0
-1 -26 -130 -15 0
2 41 130 15 0
-2 -41 -130 -15 0
18 41 130 31 0
-18 -41 -130 -31 0
3 55 130 15 0
-3 -55 -130 -15 0
19 55 130 31 0
-19 -55 -130 -31 0
34 55 130 46 0
-34 -55 -130 -46 0
4 68 130 15 0
-4 -68 -130 -15 0
20 68 130 31 0
-20 -68 -130 -31 0
35 68 130 46 0
-35 -68 -130 -46 0
49 68 130 60 0
-49 -68 -130 -60 0
5 80 130 15 0
-5 -80 -130 -15 0
21 80 130 31 0
-21 -80 -130 -31 0
36 80 130 46 0
-36 -80 -130 -46 0
50 80 130 60 0
-50 -80 -130 -60 0
63 80 130 73 0
-63 -80 -130 -73 0
6 91 130 15 0
-6 -91 -130 -15 0
22 91 130 31 0
-22 -91 -130 -31 0
37 91 130 46 0
-37 -91 -130 -46 0
51 91 130 60 0
-51 -91 -130 -60 0
64 91 130 73 0
-64 -91 -130 -73 0
76 91 130 85 0
-76 -91 -130 -85 0
7 101 130 15 0
-7 -101 -130 -15 0
23 101 130 31 0
-23 -101 -130 -31 0
38 101 130 46 0
-38 -101 -130 -46 0
52 101 130 60 0
-52 -101 -130 -60 0
65 101 130 73 0
-65 -101 -130 -73 0
77 101 130 85 0
-77 -101 -130 -85 0
88 101 130 96 0
-88 -101 -130 -96 0
8 110 130 15 0
-8 -110 -130 -15 0
24 110 130 31 0
-24 -110 -130 -31 0
39 110 130 46 0
-39 -110 -130 -46 0
53 110 130 60 0
-53 -110 -130 -60 0
66 110 130 73 0
-66 -110 -130 -73 0
78 110 130 85 0
-78 -110 -130 -85 0
89 110 130 96 0
-89 -110 -130 -96 0
99 110 130 106 0
-99 -110 -130 -106 0
9 118 130 15 0
-9 -118 -130 -15 0
25 118 130 31 0
-25 -118 -130 -31 0
40 118 130 46 0
-40 -118 -130 -46 0
54 118 130 60 0
-54 -118 -130 -60 0
67 118 130 73 0
-67 -118 -130 -73 0
79 118 130 85 0
-79 -118 -130 -85 0
90 118 130 96 0
-90 -118 -130 -96 0
100 118 130 106 0
-100 -118 -130 -106 0
109 118 130 115 0
-109 -118 -130 -115 0
1 27 136 15 0
-1 -27 -136 -15 0
2 42 136 15 0
-2 -42 -136 -15 0
18 42 136 31 0
-18 -42 -136 -31 0
3 56 136 15 0
-3 -56 -136 -15 0
19 56 136 31 0
-19 -56 -136 -31 0
34 56 136 46 0
-34 -56 -136 -46 0
4 69 136 15 0
-4 -69 -136 -15 0
20 69 136 31 0
-20 -69 -136 -31 0
35 69 136 46 0
-35 -69 -136 -46 0
49 69 136 60 0
-49 -69 -136 -60 0
5 81 136 15 0
-5 -81 -136 -15 0
21 81 136 31 0
-21 -81 -136 -31 0
36 81 136 46 0
-36 -81 -136 -46 0
50 81 136 60 0
-50 -81 -136 -60 0
63 81 136 73 0
-63 -81 -136 -73 0
6 92 136 15 0
-6 -92 -136 -15 0
22 92 136 31 0
-22 -92 -136 -31 0
37 92 136 46 0
-37 -92 -136 -46 0
51 92 136 60 0
-51 -92 -136 -60 0
64 92 136 73 0
-64 -92 -136 -73 0
76 92 136 85 0
-76 -92 -136 -85 0
7 102 136 15 0
-7 -102 -136 -15 0
23 102 136 31 0
-23 -102 -136 -31 0
38 102 136 46 0
-38 -102 -136 -46 0
52 102 136 60 0
-52 -102 -136 -60 0
65 102 136 73 0
-65 -102 -136 -73 0
77 102 136 85 0
-77 -102 -136 -85 0
88 102 136 96 0
-88 -102 -136 -96 0
8 111 136 15 0
-8 -111 -136 -15 0
24 111 136 31 0
-24 -111 -136 -31 0
39 111 136 46 0
-39 -111 -136 -46 0
53 111 136 60 0
-53 -111 -136 -60 0
66 111 136 73 0
-66 -111 -136 -73 0
78 111 136 85 0
-78 -111 -136 -85 0
89 111 136 96 0
-89 -111 -136 -96 0
99 111 136 106 0
-99 -111 -136 -106 0
9 119 136 15 0
-9 -119 -136 -15 0
25 119 136 31 0
-25 -119 -136 -31 0
40 119 136 46 0
-40 -119 -136 -46 0
54 119 136 60 0
-54 -119 -136 -60 0
67 119 136 73 0
-67 -119 -136 -73 0
79 119 136 85 0
-79 -119 -136 -85 0
90 119 136 96 0
-90 -119 -136 -96 0
100 119 136 106 0
-100 -119 -136 -106 0
109 119 136 115 0
-109 -119 -136 -115 0
10 126 136 15 0
-10 -126 -136 -15 0
26 126 136 31 0
-26 -126 -136 -31 0
41 126 136 46 0
-41 -126 -136 -46 0
55 126 136 60 0
-55 -126 -136 -60 0
68 126 136 73 0
-68 -126 -136 -73 0
80 126 136 85 0
-80 -126 -136 -85 0
91 126 136 96 0
-91 -126 -136 -96 0
101 126 136 106 0
-101 -126 -136 -106 0
110 126 136 115 0
-110 -126 -136 -115 0
118 126 136 123 0
-118 -126 -136 -123 0
1 28 141 15 0
-1 -28 -141 -15 0
2 43 141 15 0
-2 -43 -141 -15 0
18 43 141 31 0
-18 -43 -141 -31 0
3 57 141 15 0
-3 -57 -141 -15 0
19 57 141 31 0
-19 -57 -141 -31 0
34 57 141 46 0
-34 -57 -141 -46 0
4 70 141 15 0
-4 -70 -141 -15 0
20 70 141 31 0
-20 -70 -141 -31 0
35 70 141 46 0
-35 -70 -141 -46 0
49 70 141 60 0
-49 -70 -141 -60 0
5 82 141 15 0
-5 -82 -141 -15 0
21 82 141 31 0
-21 -82 -141 -31 0
36 82 141 46 0
-36 -82 -141 -46 0
50 82 141 60 0
-50 -82 -141 -60 0
63 82 141 73 0
-63 -82 -141 -73 0
6 93 141 15 0
-6 -93 -141 -15 0
22 93 141 31 0
-22 -93 -141 -31 0
37 93 141 46 0
-37 -93 -141 -46 0
51 93 141 60 0
-51 -93 -141 -60 0
64 93 141 73 0
-64 -93 -141 -73 0
76 93 141 85 0
-76 -93 -141 -85 0
7 103 141 15 0
-7 -103 -141 -15 0
23 103 141 31 0
-23 -103 -141 -31 0
38 103 141 46 0
-38 -103 -141 -46 0
52 103 141 60 0
-52 -103 -141 -60 0
65 103 141 73 0
-65 -103 -141 -73 0
77 103 141 85 0
-77 -103 -141 -85 0
88 103 141 96 0
-88 -103 -141 -96 0
8 112 141 15 0
-8 -112 -141 -15 0
24 112 141 31 0
-24 -112 -141 -31 0
39 112 141 46 0
-39 -112 -141 -46 0
53 112 141 60 0
-53 -112 -141 -60 0
66 112 141 73 0
-66 -112 -141 -73 0
78 112 141 85 0
-78 -112 -141 -85 0
89 112 141 96 0
-89 -112 -141 -96 0
99 112 141 106 0
-99 -112 -141 -106 0
9 120 141 15 0
-9 -120 -141 -15 0
25 120 141 31 0
-25 -120 -141 -31 0
40 120 141 46 0
-40 -120 -141 -46 0
54 120 141 60 0
-54 -120 -141 -60 0
67 120 141 73 0
-67 -120 -141 -73 0
79 120 141 85 0
-79 -120 -141 -85 0
90 120 141 96 0
-90 -120 -141 -96 0
100 120 141 106 0
-100 -120 -141 -106 0
109 120 141 115 0
-109 -120 -141 -115 0
10 127 141 15 0
-10 -127 -141 -15 0
26 127 141 31 0
-26 -127 -141 -31 0
41 127 141 46 0
-41 -127 -141 -46 0
55 127 141 60 0
-55 -127 -141 -60 0
68 127 141 73 0
-68 -127 -141 -73 0
80 127 141 85 0
-80 -127 -141 -85 0
91 127 141 96 0
-91 -127 -141 -96 0
101 127 141 106 0
-101 -127 -141 -106 0
110 127 141 115 0
-110 -127 -141 -115 0
118 127 141 123 0
-118 -127 -141 -123 0
11 133 141 15 0
-11 -133 -141 -15 0
27 133 141 31 0
-27 -133 -141 -31 0
42 133 141 46 0
-42 -133 -141 -46 0
56 133 141 60 0
-56 -133 -141 -60 0
69 133 141 73 0
-69 -133 -141 -73 0
81 133 141 85 0
-81 -133 -141 -85 0
92 133 141 96 0
-92 -133 -141 -96 0
102 133 141 106 0
-102 -133 -141 -106 0
111 133 141 115 0
-111 -133 -141 -115 0
119 133 141 123 0
-119 -133 -141 -123 0
126 133 141 130 0
-126 -133 -141 -130 0
1 29 145 15 0
-1 -29 -145 -15 0
2 44 145 15 0
-2 -44 -145 -15 0
18 44 145 31 0
-18 -44 -145 -31 0
3 58 145 15 0
-3 -58 -145 -15 0
19 58 145 31 0
-19 -58 -145 -31 0
34 58 145 46 0
-34 -58 -145 -46 0
4 71 145 15 0
-4 -71 -145 -15 0
20 71 145 31 0
-20 -71 -145 -31 0
35 71 145 46 0
-35 -71 -145 -46 0
49 71 145 60 0
-49 -71 -145 -60 0
5 83 145 15 0
-5 -83 -145 -15 0
21 83 145 31 0
-21 -83 -145 -31 0
36 83 145 46 0
-36 -83 -145 -46 0
50 83 145 60 0
-50 -83 -145 -60 0
63 83 145 73 0
-63 -83 -145 -73 0
6 94 145 15 0
-6 -94 -145 -15 0
22 94 145 31 0
-22 -94 -145 -31 0
37 94 145 46 0
-37 -94 -145 -46 0
51 94 145 60 0
-51 -94 -145 -60 0
64 94 145 73 0
-64 -94 -145 -73 0
76 94 145 85 0
-76 -94 -145 -85 0
7 104 145 15 0
-7 -104 -145 -15 0
23 104 145 31 0
-23 -104 -145 -31 0
38 104 145 46 0
-38 -104 -145 -46 0
52 104 145 60 0
-52 -104 -145 -60 0
65 104 145 73 0
-65 -104 -145 -73 0
77 104 145 85 0
-77 -104 -145 -85 0
88 104 145 96 0
-88 -104 -145 -96 0
8 113 145 15 0
-8 -113 -145 -15 0
24 113 145 31 0
-24 -113 -145 -31 0
39 113 145 46 0
-39 -113 -145 -46 0
53 113 145 60 0
-53 -113 -145 -60 0
66 113 145 73 0
-66 -113 -145 -73 0
78 113 145 85 0
-78 -113 -145 -85 0
89 113 145 96 0
-89 -113 -145 -96 0
99 113 145 106 0
-99 -113 -145 -106 0
9 121 145 15 0
-9 -121 -145 -15 0
25 121 145 31 0
-25 -121 -145 -31 0
40 121 145 46 0
-40 -121 -145 -46 0
54 121 145 60 0
-54 -121 -145 -60 0
67 121 145 73 0
-67 -121 -145 -73 0
79 121 145 85 0
-79 -121 -145 -85 0
90 121 145 96 0
-90 -121 -145 -96 0
100 121 145 106 0
-100 -121 -145 -106 0
109 121 145 115 0
-109 -121 -145 -115 0
10 128 145 15 0
-10 -128 -145 -15 0
26 128 145 31 0
-26 -128 -145 -31 0
41 128 145 46 0
-41 -128 -145 -46 0
55 128 145 60 0
-55 -128 -145 -60 0
68 128 145 73 0
-68 -128 -145 -73 0
80 128 145 85 0
-80 -128 -145 -85 0
91 128 145 96 0
-91 -128 -145 -96 0
101 128 145 106 0
-101 -128 -145 -106 0
110 128 145 115 0
-110 -128 -145 -115 0
118 128 145 123 0
-118 -128 -145 -123 0
11 134 145 15 0
-11 -134 -145 -15 0
27 134 145 31 0
-27 -134 -145 -31 0
42 134 145 46 0
-42 -134 -145 -46 0
56 134 145 60 0
-56 -134 -145 -60 0
69 134 145 73 0
-69 -134 -145 -73 0
81 134 145 85 0
-81 -134 -145 -85 0
92 134 145 96 0
-92 -134 -145 -96 0
102 134 145 106 0
-102 -134 -145 -106 0
111 134 145 115 0
-111 -134 -145 -115 0
119 134 145 123 0
-119 -134 -145 -123 0
126 134 145 130 0
-126 -134 -145 -130 0
12 139 145 15 0
-12 -139 -145 -15 0
28 139 145 31 0
-28 -139 -145 -31 0
43 139 145 46 0
-43 -139 -145 -46 0
57 139 145 60 0
-57 -139 -145 -60 0
70 139 145 73 0
-70 -139 -145 -73 0
82 139 145 85 0
-82 -139 -145 -85 0
93 139 145 96 0
-93 -139 -145 -96 0
103 139 145 106 0
-103 -139 -145 -106 0
112 139 145 115 0
-112 -139 -145 -115 0
120 139 145 123 0
-120 -139 -145 -123 0
127 139 145 130 0
-127 -139 -145 -130 0
133 139 145 136 0
-133 -139 -145 -136 0
1 30 148 15 0
-1 -30 -148 -15 0
2 45 148 15 0
-2 -45 -148 -15 0
18 45 148 31 0
-18 -45 -148 -31 0
3 59 148 15 0
-3 -59 -148 -15 0
19 59 148 31 0
-19 -59 -148 -31 0
34 59 148 46 0
-34 -59 -148 -46 0
4 72 148 15 0
-4 -72 -148 -15 0
20 72 148 31 0
-20 -72 -148 -31 0
35 72 148 46 0
-35 -72 -148 -46 0
49 72 148 60 0
-49 -72 -148 -60 0
5 84 148 15 0
-5 -84 -148 -15 0
21 84 148 31 0
-21 -84 -148 -31 0
36 84 148 46 0
-36 -84 -148 -46 0
50 84 148 60 0
-50 -84 -148 -60 0
63 84 148 73 0
-63 -84 -148 -73 0
6 95 148 15 0
-6 -95 -148 -15 0
22 95 148 31 0
-22 -95 -148 -31 0
37 95 148 46 0
-37 -95 -148 -46 0
51 95 148 60 0
